Name,Party,State,District,Start,Twitter
84,Rosa L. DeLauro,Democratic Party,Connecticut,3,1991-01-03,rosadelauro
85,Jim Himes,Democratic Party,Connecticut,4,2009-01-03,jahimes
86,Jahana Hayes,Democratic Party,Connecticut,5,2019-01-03,RepJahanaHayes
87,Lisa Blunt Rochester,Democratic Party,Delaware,1,2017-01-03,RepLBR
88,Matt Gaetz,Republican Party,Florida,1,2017-01-03,RepMattGaetz
89,Neal Dunn,Republican Party,Florida,2,2017-01-03,DrNealDunnFL2
90,Kat Cammack,Republican Party,Florida,3,2021-01-03,RepKatCammack
91,Aaron Bean,Republican Party,Florida,4,2023-01-03,RepAaronBean
92,John Rutherford,Republican Party,Florida,5,2023-01-03,RepRutherfordFL
93,Michael Waltz,Republican Party,Florida,6,2019-01-03,RepWaltzPress
94,Cory Mills,Republican Party,Florida,7,2023-01-03,CoryMillsFL
95,Bill Posey,Republican Party,Florida,8,2013-01-03,congbillposey
96,Darren Soto,Democratic Party,Florida,9,2017-01-03,RepDarrenSoto
97,Maxwell Alejandro Frost,Democratic Party,Florida,10,2023-01-03,MaxwellFrostFL
98,Daniel Webster,Republican Party,Florida,11,2017-01-03,RepWebster
99,Gus M. Bilirakis,Republican Party,Florida,12,2013-01-03,RepGusBilirakis
100,Anna Paulina Luna,Republican Party,Florida,13,2023-01-03,RepLuna
101,Kathy Castor,Democratic Party,Florida,14,2013-01-03,USRepKCastor
102,Laurel Lee,Republican Party,Florida,15,2023-01-03,Vote_Laurel
103,Vern Buchanan,Republican Party,Florida,16,2013-01-03,VernBuchanan
104,Greg Steube,Republican Party,Florida,17,2019-01-03,RepGregSteube
105,Scott Franklin,Republican Party,Florida,18,2023-01-03,RepFranklin
106,Byron Donalds,Republican Party,Florida,19,2021-01-03,RepDonaldsPress
107,Sheila Cherfilus-McCormick,Democratic Party,Florida,20,2022-01-18,CongresswomanSC
108,Brian Mast,Republican Party,Florida,21,2023-01-03,RepBrianMast
109,Lois Frankel,Democratic Party,Florida,22,2023-01-03,RepLoisFrankel
