Name,Party,State,District,Start,Twitter
353,Russell Fry,Republican Party,South Carolina,7,2023-01-03,RepRussellFry
354,Dusty Johnson,Republican Party,South Dakota,1,2019-01-03,RepDustyJohnson
355,Diana Harshbarger,Republican Party,Tennessee,1,2021-01-03,RepHarshbarger
356,Tim Burchett,Republican Party,Tennessee,2,2019-01-03,RepTimBurchett
357,Charles J. Fleischmann,Republican Party,Tennessee,3,2011-01-03,RepChuck
358,Scott DesJarlais,Republican Party,Tennessee,4,2011-01-03,DesJarlaisTN04
359,Andy Ogles,Republican Party,Tennessee,5,2023-01-03,RepOgles
360,John Rose,Republican Party,Tennessee,6,2019-01-03,RepJohnRose
361,Mark Green,Republican Party,Tennessee,7,2019-01-03,RepMarkGreen
362,David Kustoff,Republican Party,Tennessee,8,2017-01-03,RepDavidKustoff
363,Steve Cohen,Democratic Party,Tennessee,9,2007-01-03,RepCohen
364,Nathaniel Moran,Republican Party,Texas,1,2023-01-03,RepNateMoran
365,Daniel Crenshaw,Republican Party,Texas,2,2019-01-03,RepDanCrenshaw
366,Keith Self,Republican Party,Texas,3,2023-01-03,selfforcongress
367,Pat Fallon,Republican Party,Texas,4,2021-01-03,RepPatFallon
368,Lance Gooden,Republican Party,Texas,5,2019-01-03,Lancegooden
369,Jake Ellzey,Republican Party,Texas,6,2021-07-30,RepEllzey
370,Lizzie Pannill Fletcher,Democratic Party,Texas,7,2019-01-03,RepFletcher
371,Morgan Luttrell,Republican Party,Texas,8,2023-01-03,MLuttrellTX
372,Al Green,Democratic Party,Texas,9,2005-01-03,RepAlGreen
373,Michael McCaul,Republican Party,Texas,10,2005-01-03,RepMcCaul
374,August Pfluger,Republican Party,Texas,11,2021-01-03,RepPfluger
375,Kay Granger,Republican Party,Texas,12,1997-01-03,RepKayGranger
376,Ronny L. Jackson,Republican Party,Texas,13,2021-01-03,RepRonnyJackson
377,Randy Weber,Republican Party,Texas,14,2013-01-03,TXRandy14
378,Monica De La Cruz,Republican Party,Texas,15,2023-01-03,monica4congress
379,Veronica Escobar,Democratic Party,Texas,16,2019-01-03,RepEscobar
380,Pete Sessions,Republican Party,Texas,17,2021-01-03,PeteSessions
381,Sheila Jackson Lee,Democratic Party,Texas,18,1995-01-03,JacksonLeeTX18
382,Jodey Arrington,Republican Party,Texas,19,2017-01-03,RepArrington
383,Joaquin Castro,Democratic Party,Texas,20,2013-01-03,JoaquinCastrotx
384,Chip Roy,Republican Party,Texas,21,2019-01-03,RepChipRoy
385,Troy Nehls,Republican Party,Texas,22,2021-01-03,RepTroyNehls
386,Tony Gonzales,Republican Party,Texas,23,2021-01-03,RepTonyGonzales
387,Beth Van Duyne,Republican Party,Texas,24,2021-01-03,RepBethVanDuyne
388,Roger Williams,Republican Party,Texas,25,2013-01-03,RepRWilliams
389,Michael C. Burgess,Republican Party,Texas,26,2003-01-03,michaelcburgess
390,Michael Cloud,Republican Party,Texas,27,2018-07-10,RepCloudTX
391,Henry Cuellar,Democratic Party,Texas,28,2005-01-03,RepCuellar
392,Sylvia Garcia,Democratic Party,Texas,29,2019-01-03,RepSylviaGarcia
393,Jasmine Crockett,Democratic Party,Texas,30,2023-01-03,JasmineForUS
394,John Carter,Republican Party,Texas,31,2003-01-03,JudgeCarter
395,Colin Allred,Democratic Party,Texas,32,2019-01-03,RepColinAllred
396,Marc Veasey,Democratic Party,Texas,33,2013-01-03,RepVeasey
397,Vicente Gonzalez Jr.,Democratic Party,Texas,34,2023-01-03,RepGonzalez
398,Greg Casar,Democratic Party,Texas,35,2023-01-03,GregCasar
399,Brian Babin,Republican Party,Texas,36,2015-01-03,RepBrianBabin
400,Lloyd Doggett,Democratic Party,Texas,37,2023-01-03,RepLloydDoggett
401,Wesley Hunt,Republican Party,Texas,38,2023-01-03,WesleyHuntTX
402,Blake Moore,Republican Party,Utah,1,2021-01-03,RepBlakeMoore
403,Chris Stewart,Republican Party,Utah,2,2013-01-03,repchrisstewart
404,John Curtis,Republican Party,Utah,3,2017-11-13,RepJohnCurtis
405,Burgess Owens,Republican Party,Utah,4,2021-01-03,RepBurgessOwens
406,Becca Balint,Democratic Party,Vermont,1,2023-01-03,beccabalintvt
407,Stacey Plaskett,Democratic Party,Virgin Islands,1,2015-01-03,StaceyPlaskett
408,Robert J. Wittman,Republican Party,Virginia,1,2007-01-03,RobWittman
409,Jennifer Kiggans,Republican Party,Virginia,2,2023-01-03,JenKiggans
410,Robert C. Scott,Democratic Party,Virginia,3,1993-01-03,BobbyScott
411,Jennifer McClellan,Democratic Party,Virginia,4,2023-03-07,RepMcClellan
412,Bob Good,Republican Party,Virginia,5,2021-01-03,RepBobGood
413,Benjamin Lee Cline,Republican Party,Virginia,6,2019-01-03,RepBenCline
414,Abigail Spanberger,Democratic Party,Virginia,7,2019-01-03,RepSpanberger
415,Donald Sternoff Beyer Jr.,Democratic Party,Virginia,8,2015-01-03,RepDonBeyer
416,H. Morgan Griffith,Republican Party,Virginia,9,2011-01-03,RepMGriffith
417,Jennifer Wexton,Democratic Party,Virginia,10,2019-01-03,RepWexton
418,Gerald Edward Connolly,Democratic Party,Virginia,11,2009-01-03,GerryConnolly
419,Suzan DelBene,Democratic Party,Washington,1,2012-11-13,RepDelBene
420,Rick Larsen,Democratic Party,Washington,2,2001-01-03,RepRickLarsen
421,Marie Gluesenkamp Pérez,Democratic Party,Washington,3,2023-01-03,MGPforCongress
422,Dan Newhouse,Republican Party,Washington,4,2015-01-03,repnewhouse
423,Cathy McMorris Rodgers,Republican Party,Washington,5,2005-01-03,cathymcmorris
424,Derek Kilmer,Democratic Party,Washington,6,2013-01-03,RepDerekKilmer
425,Pramila Jayapal,Democratic Party,Washington,7,2017-01-03,RepJayapal
426,Kim Schrier,Democratic Party,Washington,8,2019-01-03,repkimschrier
427,D. Adam Smith,Democratic Party,Washington,9,1997-01-03,RepAdamSmith
428,Marilyn Strickland,Democratic Party,Washington,10,2021-01-03,RepStricklandWA
429,Carol Miller,Republican Party,West Virginia,1,2023-01-03,RepCarolMiller
430,Alexander Mooney,Republican Party,West Virginia,2,2015-01-03,RepAlexMooney
431,Bryan Steil,Republican Party,Wisconsin,1,2019-01-03,RepBryanSteil
432,Mark Pocan,Democratic Party,Wisconsin,2,2013-01-03,RepMarkPocan
433,Derrick Van Orden,Republican Party,Wisconsin,3,2023-01-03,derrickvanorden
434,Gwen Moore,Democratic Party,Wisconsin,4,2005-01-03,RepGwenMoore
435,Scott Fitzgerald,Republican Party,Wisconsin,5,2021-01-03,RepFitzgerald
436,Glenn Grothman,Republican Party,Wisconsin,6,2015-01-03,RepGrothman
437,Tom Tiffany,Republican Party,Wisconsin,7,2020-05-19,RepTiffany
438,Mike Gallagher,Republican Party,Wisconsin,8,2017-01-03,RepGallagher
439,Harriet Hageman,Republican Party,Wyoming,1,2023-01-03,HagemanforWY
