Name,Party,State,District,Start,Twitter
Neal Dunn,Republican Party,Florida,2,2017-01-03,DrNealDunnFL2
Kat Cammack,Republican Party,Florida,3,2021-01-03,RepKatCammack
Aaron Bean,Republican Party,Florida,4,2023-01-03,RepAaronBean
John Rutherford,Republican Party,Florida,5,2023-01-03,RepRutherfordFL
Michael Waltz,Republican Party,Florida,6,2019-01-03,RepWaltzPress
Cory Mills,Republican Party,Florida,7,2023-01-03,CoryMillsFL
Bill Posey,Republican Party,Florida,8,2013-01-03,congbillposey
Darren Soto,Democratic Party,Florida,9,2017-01-03,RepDarrenSoto
Maxwell Alejandro Frost,Democratic Party,Florida,10,2023-01-03,MaxwellFrostFL
Daniel Webster,Republican Party,Florida,11,2017-01-03,RepWebster
Gus M. Bilirakis,Republican Party,Florida,12,2013-01-03,RepGusBilirakis
Anna Paulina Luna,Republican Party,Florida,13,2023-01-03,RepLuna
Kathy Castor,Democratic Party,Florida,14,2013-01-03,USRepKCastor
Laurel Lee,Republican Party,Florida,15,2023-01-03,Vote_Laurel
Vern Buchanan,Republican Party,Florida,16,2013-01-03,VernBuchanan
Greg Steube,Republican Party,Florida,17,2019-01-03,RepGregSteube
Scott Franklin,Republican Party,Florida,18,2023-01-03,RepFranklin
Byron Donalds,Republican Party,Florida,19,2021-01-03,RepDonaldsPress
Sheila Cherfilus-McCormick,Democratic Party,Florida,20,2022-01-18,CongresswomanSC
Brian Mast,Republican Party,Florida,21,2023-01-03,RepBrianMast
Lois Frankel,Democratic Party,Florida,22,2023-01-03,RepLoisFrankel
Jared Evan Moskowitz,Democratic Party,Florida,23,2023-01-03,RepMoskowitz
Frederica S. Wilson,Democratic Party,Florida,24,2013-01-03,RepWilson
Debbie Wasserman Schultz,Democratic Party,Florida,25,2023-01-03,RepDWStweets
Mario Diaz-Balart,Republican Party,Florida,26,2023-01-03,MarioDB
Maria Elvira Salazar,Republican Party,Florida,27,2021-01-03,RepMariaSalazar
Carlos Gimenez,Republican Party,Florida,28,2023-01-03,RepCarlos
Earl Carter,Republican Party,Georgia,1,2015-01-03,RepBuddyCarter
Sanford Bishop Jr.,Democratic Party,Georgia,2,1993-01-03,SanfordBishop
Drew Ferguson,Republican Party,Georgia,3,2017-01-03,RepDrewFerguson
Hank Johnson,Democratic Party,Georgia,4,2007-01-03,RepHankJohnson
Nikema Williams,Democratic Party,Georgia,5,2021-01-03,RepNikema
Rich McCormick,Republican Party,Georgia,6,2023-01-03,RepMcCormick
Lucy McBath,Democratic Party,Georgia,7,2023-01-03,RepLucyMcBath
Austin Scott,Republican Party,Georgia,8,2011-01-03,AustinScottGA08
Andrew Clyde,Republican Party,Georgia,9,2021-01-03,Rep_Clyde
