Name,Party,State,District,Start,Twitter
Al Green,Democratic Party,Texas,9,2005-01-03,RepAlGreen
Michael McCaul,Republican Party,Texas,10,2005-01-03,RepMcCaul
August Pfluger,Republican Party,Texas,11,2021-01-03,RepPfluger
Kay Granger,Republican Party,Texas,12,1997-01-03,RepKayGranger
Ronny L. Jackson,Republican Party,Texas,13,2021-01-03,RepRonnyJackson
Randy Weber,Republican Party,Texas,14,2013-01-03,TXRandy14
Monica De La Cruz,Republican Party,Texas,15,2023-01-03,monica4congress
Veronica Escobar,Democratic Party,Texas,16,2019-01-03,RepEscobar
Pete Sessions,Republican Party,Texas,17,2021-01-03,PeteSessions
Sheila Jackson Lee,Democratic Party,Texas,18,1995-01-03,JacksonLeeTX18
Jodey Arrington,Republican Party,Texas,19,2017-01-03,RepArrington
Joaquin Castro,Democratic Party,Texas,20,2013-01-03,JoaquinCastrotx
Chip Roy,Republican Party,Texas,21,2019-01-03,RepChipRoy
Troy Nehls,Republican Party,Texas,22,2021-01-03,RepTroyNehls
Tony Gonzales,Republican Party,Texas,23,2021-01-03,RepTonyGonzales
Beth Van Duyne,Republican Party,Texas,24,2021-01-03,RepBethVanDuyne
Roger Williams,Republican Party,Texas,25,2013-01-03,RepRWilliams
Michael C. Burgess,Republican Party,Texas,26,2003-01-03,michaelcburgess
Michael Cloud,Republican Party,Texas,27,2018-07-10,RepCloudTX
Henry Cuellar,Democratic Party,Texas,28,2005-01-03,RepCuellar
Sylvia Garcia,Democratic Party,Texas,29,2019-01-03,RepSylviaGarcia
Jasmine Crockett,Democratic Party,Texas,30,2023-01-03,JasmineForUS
John Carter,Republican Party,Texas,31,2003-01-03,JudgeCarter
Colin Allred,Democratic Party,Texas,32,2019-01-03,RepColinAllred
Marc Veasey,Democratic Party,Texas,33,2013-01-03,RepVeasey
Vicente Gonzalez Jr.,Democratic Party,Texas,34,2023-01-03,RepGonzalez
Greg Casar,Democratic Party,Texas,35,2023-01-03,GregCasar
Brian Babin,Republican Party,Texas,36,2015-01-03,RepBrianBabin
Lloyd Doggett,Democratic Party,Texas,37,2023-01-03,RepLloydDoggett
Wesley Hunt,Republican Party,Texas,38,2023-01-03,WesleyHuntTX
Blake Moore,Republican Party,Utah,1,2021-01-03,RepBlakeMoore
Chris Stewart,Republican Party,Utah,2,2013-01-03,repchrisstewart
John Curtis,Republican Party,Utah,3,2017-11-13,RepJohnCurtis
Burgess Owens,Republican Party,Utah,4,2021-01-03,RepBurgessOwens
Becca Balint,Democratic Party,Vermont,1,2023-01-03,beccabalintvt
Stacey Plaskett,Democratic Party,Virgin Islands,1,2015-01-03,StaceyPlaskett
Robert J. Wittman,Republican Party,Virginia,1,2007-01-03,RobWittman
Jennifer Kiggans,Republican Party,Virginia,2,2023-01-03,JenKiggans
Robert C. Scott,Democratic Party,Virginia,3,1993-01-03,BobbyScott
Jennifer McClellan,Democratic Party,Virginia,4,2023-03-07,RepMcClellan
Bob Good,Republican Party,Virginia,5,2021-01-03,RepBobGood
Benjamin Lee Cline,Republican Party,Virginia,6,2019-01-03,RepBenCline
Abigail Spanberger,Democratic Party,Virginia,7,2019-01-03,RepSpanberger
Donald Sternoff Beyer Jr.,Democratic Party,Virginia,8,2015-01-03,RepDonBeyer
H. Morgan Griffith,Republican Party,Virginia,9,2011-01-03,RepMGriffith
Jennifer Wexton,Democratic Party,Virginia,10,2019-01-03,RepWexton
Gerald Edward Connolly,Democratic Party,Virginia,11,2009-01-03,GerryConnolly
Suzan DelBene,Democratic Party,Washington,1,2012-11-13,RepDelBene
Rick Larsen,Democratic Party,Washington,2,2001-01-03,RepRickLarsen
Marie Gluesenkamp Pérez,Democratic Party,Washington,3,2023-01-03,MGPforCongress
Dan Newhouse,Republican Party,Washington,4,2015-01-03,repnewhouse
Cathy McMorris Rodgers,Republican Party,Washington,5,2005-01-03,cathymcmorris
Derek Kilmer,Democratic Party,Washington,6,2013-01-03,RepDerekKilmer
Pramila Jayapal,Democratic Party,Washington,7,2017-01-03,RepJayapal
Kim Schrier,Democratic Party,Washington,8,2019-01-03,repkimschrier
D. Adam Smith,Democratic Party,Washington,9,1997-01-03,RepAdamSmith
Marilyn Strickland,Democratic Party,Washington,10,2021-01-03,RepStricklandWA
Carol Miller,Republican Party,West Virginia,1,2023-01-03,RepCarolMiller
Alexander Mooney,Republican Party,West Virginia,2,2015-01-03,RepAlexMooney
Bryan Steil,Republican Party,Wisconsin,1,2019-01-03,RepBryanSteil
Mark Pocan,Democratic Party,Wisconsin,2,2013-01-03,RepMarkPocan
Derrick Van Orden,Republican Party,Wisconsin,3,2023-01-03,derrickvanorden
Gwen Moore,Democratic Party,Wisconsin,4,2005-01-03,RepGwenMoore
Scott Fitzgerald,Republican Party,Wisconsin,5,2021-01-03,RepFitzgerald
Glenn Grothman,Republican Party,Wisconsin,6,2015-01-03,RepGrothman
Tom Tiffany,Republican Party,Wisconsin,7,2020-05-19,RepTiffany
Mike Gallagher,Republican Party,Wisconsin,8,2017-01-03,RepGallagher
Harriet Hageman,Republican Party,Wyoming,1,2023-01-03,HagemanforWY
