Name,Party,State,Start,Twitter
Peter Welch,Democratic Party,Vermont,2023-01-03,PeterWelch
Tim Kaine,Democratic Party,Virginia,2013-01-03,timkaine
Mark Warner,Democratic Party,Virginia,2009-01-03,MarkWarner
Maria Cantwell,Democratic Party,Washington,2001-01-03,SenatorCantwell
Patty Murray,Democratic Party,Washington,1993-01-03,PattyMurray
Shelley Moore Capito,Republican Party,West Virginia,2015-01-03,SenCapito
Joe Manchin III,Democratic Party,West Virginia,2010-11-15,Sen_JoeManchin
Tammy Baldwin,Democratic Party,Wisconsin,2013-01-03,SenatorBaldwin
Ronald Harold Johnson,Republican Party,Wisconsin,2011-01-03,SenRonJohnson
John Barrasso,Republican Party,Wyoming,2007-06-25,senjohnbarrasso
Cynthia Lummis,Republican Party,Wyoming,2021-01-03,SenLummis
